               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12804,            0.028304,            0.052379,                   0,                   0,                   0,                   0,             0.12305,            0.018125,            0.050598,                 0.1,                   0,                   0
                   1,             0.12826,            0.026474,            0.052799,                   0,                   0,                   0,                   0,             0.12517,            0.017468,            0.051193,              0.0991,          9.9901e-05,          9.9901e-05
                   2,             0.12874,            0.025433,            0.052167,                   0,                   0,                   0,                   0,             0.12386,            0.018045,            0.051208,              0.0982,           0.0001996,           0.0001996
                   3,             0.12573,              0.0288,            0.051737,                   0,                   0,                   0,                   0,             0.12208,            0.018793,            0.051147,            0.097299,          0.00029911,          0.00029911
                   4,             0.12628,            0.026433,             0.05186,                   0,                   0,                   0,                   0,             0.11918,            0.020146,            0.051178,            0.096398,          0.00039842,          0.00039842
                   5,             0.12333,            0.030436,            0.052187,                   0,                   0,                   0,                   0,             0.11708,            0.021142,            0.051102,            0.095498,          0.00049752,          0.00049752
                   6,             0.12258,            0.030802,            0.052088,                   0,                   0,                   0,                   0,             0.11499,            0.022196,            0.050919,            0.094596,          0.00059644,          0.00059644
                   7,             0.11985,             0.03171,            0.051326,                   0,                   0,                   0,                   0,             0.11338,            0.023125,            0.050537,            0.093695,          0.00069515,          0.00069515
                   8,              0.1184,            0.034986,            0.051079,                   0,                   0,                   0,                   0,             0.11107,            0.024285,            0.050278,            0.092794,          0.00079366,          0.00079366
                   9,             0.11602,            0.038053,            0.050866,                   0,                   0,                   0,                   0,             0.10827,            0.025607,            0.050003,            0.091892,          0.00089198,          0.00089198
                  10,             0.11304,            0.040158,            0.050635,           0.0014599,            0.066667,            0.013884,           0.0013884,             0.10587,            0.026683,            0.049759,             0.09099,           0.0009901,           0.0009901
                  11,              0.1093,              0.0396,            0.050077,           0.0030556,             0.16667,            0.018432,           0.0031869,             0.10442,            0.026999,            0.049232,            0.090088,            0.001088,            0.001088
                  12,             0.10951,            0.039483,            0.049748,           0.0026334,             0.16667,             0.00943,           0.0029921,             0.10207,            0.027663,            0.048836,            0.089186,           0.0011857,           0.0011857
                  13,             0.10827,            0.040013,            0.049508,           0.0035438,             0.23333,            0.014763,           0.0031565,             0.10084,            0.027831,            0.048409,            0.088283,           0.0012833,           0.0012833
                  14,             0.10693,            0.043805,            0.048602,           0.0029444,             0.18333,            0.020738,           0.0027684,            0.099686,            0.027866,            0.048012,            0.087381,           0.0013806,           0.0013806
                  15,             0.10552,            0.047659,            0.048059,              0.0024,                 0.2,             0.01006,           0.0032629,             0.09854,            0.027789,            0.047577,            0.086478,           0.0014777,           0.0014777
                  16,             0.10143,            0.043441,            0.047855,           0.0034461,                 0.3,            0.013576,           0.0026291,            0.098409,             0.02756,            0.047127,            0.085575,           0.0015747,           0.0015747
                  17,             0.10069,            0.049169,            0.046927,           0.0032966,                 0.3,            0.043944,            0.012072,            0.096257,            0.028221,            0.046669,            0.084671,           0.0016714,           0.0016714
                  18,              0.1006,            0.048579,            0.046719,           0.0018462,                 0.2,             0.09125,            0.030833,            0.094805,            0.028801,            0.046234,            0.083768,           0.0017679,           0.0017679
                  19,            0.096018,            0.052321,            0.046194,            0.004839,             0.36667,             0.10728,            0.028936,            0.093868,            0.028627,            0.045586,            0.082864,           0.0018643,           0.0018643
                  20,            0.095065,            0.045663,            0.045378,           0.0075238,             0.48333,            0.089589,            0.029244,            0.092346,             0.02854,            0.044792,             0.08196,           0.0019604,           0.0019604
                  21,             0.09378,            0.046704,            0.045007,           0.0072503,             0.48333,             0.20733,            0.032488,             0.08944,            0.028566,            0.043884,            0.081056,           0.0020563,           0.0020563
                  22,            0.090193,            0.047737,            0.044709,           0.0080785,             0.58333,             0.13808,            0.026564,            0.088184,            0.028121,             0.04348,            0.080152,           0.0021521,           0.0021521
                  23,            0.090315,             0.04747,            0.044047,             0.23736,             0.26667,              0.1234,            0.020417,            0.087908,            0.027322,            0.042816,            0.079248,           0.0022476,           0.0022476
                  24,            0.092012,            0.048515,            0.044497,           0.0076996,             0.58333,            0.068161,            0.010679,            0.090678,            0.026187,             0.04229,            0.078343,            0.002343,            0.002343
                  25,            0.091271,            0.046526,            0.043183,             0.22338,             0.21195,            0.048771,            0.010513,            0.087271,            0.025671,            0.041794,            0.077438,           0.0024381,           0.0024381
                  26,            0.086485,            0.045721,            0.043724,             0.45268,             0.13333,             0.09569,            0.018831,             0.08952,            0.024546,            0.041389,            0.076533,           0.0025331,           0.0025331
                  27,            0.087956,            0.048089,             0.04306,             0.44232,                 0.3,             0.10765,             0.02336,            0.088973,            0.023982,            0.040855,            0.075628,           0.0026278,           0.0026278
                  28,            0.087192,             0.04421,            0.042673,             0.44642,             0.23333,             0.12966,            0.029129,            0.090106,            0.023379,            0.040527,            0.074722,           0.0027224,           0.0027224
                  29,             0.08416,            0.046726,            0.041269,             0.24722,             0.53333,             0.12593,            0.027894,            0.089801,             0.02386,            0.040359,            0.073817,           0.0028167,           0.0028167
                  30,            0.088635,            0.052832,            0.040943,             0.60351,             0.46667,             0.23454,            0.047389,            0.088498,            0.024185,             0.03994,            0.072911,           0.0029109,           0.0029109
                  31,             0.08052,            0.046017,            0.039773,             0.69026,             0.33333,             0.28775,             0.10199,            0.084608,            0.025636,            0.039467,            0.072005,           0.0030049,           0.0030049
                  32,            0.084175,            0.051206,             0.04068,             0.96807,                 0.1,             0.19001,            0.051514,            0.093291,            0.026738,            0.038986,            0.071099,           0.0030986,           0.0030986
                  33,            0.084406,            0.040112,            0.041835,             0.27017,             0.47305,             0.23167,            0.079379,            0.082793,            0.029307,            0.038765,            0.070192,           0.0031922,           0.0031922
                  34,            0.080859,            0.038428,            0.038584,             0.34401,             0.50729,             0.19489,            0.071657,            0.089294,            0.029143,            0.038338,            0.069286,           0.0032856,           0.0032856
                  35,            0.078505,            0.042879,            0.038151,             0.33431,             0.49392,             0.31745,            0.070232,            0.080297,            0.030545,            0.038185,            0.068379,           0.0033787,           0.0033787
                  36,            0.078906,            0.046905,            0.038386,             0.32135,             0.48244,             0.32659,            0.098038,            0.087252,            0.029588,            0.037949,            0.067472,           0.0034717,           0.0034717
                  37,            0.080282,            0.040294,            0.038698,             0.51526,             0.46667,             0.32138,            0.091686,            0.081344,            0.029739,            0.037514,            0.066564,           0.0035645,           0.0035645
                  38,            0.076633,            0.038749,             0.03721,             0.50227,             0.43333,             0.28967,             0.11146,            0.084008,             0.02807,            0.037598,            0.065657,            0.003657,            0.003657
                  39,            0.077111,            0.041058,            0.036704,             0.52715,             0.53333,             0.30839,             0.11266,            0.082596,            0.027244,            0.037384,            0.064749,           0.0037494,           0.0037494
                  40,            0.076845,            0.042735,            0.036052,             0.51859,             0.43333,             0.27058,             0.11194,            0.079998,            0.026703,            0.037315,            0.063842,           0.0038416,           0.0038416
                  41,             0.07681,            0.035221,            0.036573,             0.66957,             0.16667,             0.15164,            0.052991,            0.084807,            0.024801,            0.037064,            0.062934,           0.0039336,           0.0039336
                  42,            0.074731,            0.037897,            0.036442,             0.53305,             0.53333,             0.28619,             0.11499,            0.076509,             0.02482,            0.036522,            0.062025,           0.0040254,           0.0040254
                  43,            0.076159,            0.040866,            0.035617,             0.49834,             0.46667,             0.41706,             0.10586,            0.083237,            0.023631,            0.036369,            0.061117,           0.0041169,           0.0041169
                  44,            0.075763,            0.042026,            0.034028,             0.52033,             0.53333,             0.37283,             0.14192,            0.077956,            0.024008,             0.03598,            0.060208,           0.0042083,           0.0042083
                  45,            0.075869,            0.034538,            0.033999,             0.53169,             0.53333,             0.34055,             0.12689,            0.078236,            0.023824,            0.035919,              0.0593,           0.0042995,           0.0042995
                  46,            0.075984,            0.037741,            0.034618,             0.35518,             0.58333,             0.19224,            0.054249,            0.080874,            0.023073,            0.035995,            0.058391,           0.0043905,           0.0043905
                  47,            0.077442,            0.036129,            0.033475,              0.6929,             0.23333,             0.33302,             0.16974,             0.07795,            0.023389,            0.035736,            0.057481,           0.0044813,           0.0044813
                  48,            0.074715,            0.038048,            0.032039,             0.52565,                 0.4,             0.34674,            0.087687,            0.079044,            0.022873,            0.036064,            0.056572,           0.0045719,           0.0045719
                  49,            0.072098,            0.035933,            0.033153,              0.7256,             0.23333,             0.41578,             0.17255,            0.075972,            0.022925,            0.035583,            0.055662,           0.0046623,           0.0046623
                  50,            0.075543,            0.033211,            0.033234,             0.45276,             0.46667,             0.18909,            0.043131,            0.082066,            0.021378,             0.03595,            0.054753,           0.0047525,           0.0047525
                  51,             0.07588,            0.033799,            0.032022,             0.52191,             0.43333,             0.39835,             0.15329,            0.079156,            0.021371,            0.035767,            0.053843,           0.0048425,           0.0048425
                  52,            0.077798,            0.035242,            0.031063,             0.53978,                 0.3,             0.28331,             0.11555,            0.080033,             0.02042,            0.035545,            0.052932,           0.0049323,           0.0049323
                  53,             0.07235,            0.031944,            0.031029,             0.82263,             0.23333,             0.48828,             0.14483,            0.078437,            0.019795,              0.0355,            0.052022,           0.0050219,           0.0050219
                  54,            0.072699,            0.035663,            0.030869,             0.55107,             0.33235,             0.27826,            0.046709,            0.087746,            0.019321,            0.034767,            0.051111,           0.0051113,           0.0051113
                  55,            0.073147,             0.03009,            0.030606,             0.52564,             0.35254,             0.35781,             0.13283,            0.076425,             0.01974,            0.033875,            0.050201,           0.0052005,           0.0052005
                  56,             0.07539,            0.035947,            0.029596,             0.64717,             0.46667,             0.34208,             0.11583,            0.075614,            0.018509,            0.033295,             0.04929,           0.0052895,           0.0052895
                  57,            0.068865,            0.032151,            0.027848,              0.1255,             0.67815,              0.3174,             0.16427,             0.08037,            0.018954,            0.032578,            0.048378,           0.0053783,           0.0053783
                  58,            0.076409,            0.034017,            0.029032,             0.65471,             0.50047,             0.45281,             0.10903,            0.078798,            0.017635,             0.03241,            0.047467,            0.005467,            0.005467
                  59,            0.070083,            0.028273,            0.027697,             0.32334,                 0.7,             0.26517,             0.10855,            0.080715,            0.018664,            0.031883,            0.046555,           0.0055554,           0.0055554
                  60,            0.073179,            0.033535,            0.027012,             0.61941,             0.46667,             0.45229,             0.19127,            0.072447,            0.018638,            0.031822,            0.045644,           0.0056436,           0.0056436
                  61,            0.070955,            0.032997,            0.027714,             0.50179,             0.55749,              0.3599,             0.10425,            0.082985,            0.018067,            0.031151,            0.044732,           0.0057316,           0.0057316
                  62,            0.077956,            0.032148,            0.027723,             0.64302,             0.56359,             0.52329,             0.23727,            0.070558,            0.017706,            0.031189,            0.043819,           0.0058194,           0.0058194
                  63,             0.06705,            0.030481,            0.026911,             0.50983,                 0.4,             0.26135,            0.061256,            0.078898,            0.017466,            0.030357,            0.042907,           0.0059071,           0.0059071
                  64,            0.074393,            0.029572,              0.0253,             0.74547,              0.5367,             0.49493,             0.23239,            0.073908,            0.017083,            0.030403,            0.041994,           0.0059945,           0.0059945
                  65,            0.068443,            0.029587,             0.02591,              0.6228,             0.58605,             0.52154,             0.16846,            0.075841,             0.01726,            0.029922,            0.041082,           0.0060817,           0.0060817
                  66,            0.072454,            0.031797,            0.024718,             0.68756,                 0.6,             0.56691,             0.15098,            0.074573,            0.016939,            0.030151,            0.040169,           0.0061688,           0.0061688
                  67,            0.071239,            0.031917,            0.024113,               0.615,              0.3807,             0.31209,             0.11509,            0.079618,            0.017081,            0.029716,            0.039256,           0.0062556,           0.0062556
                  68,            0.074341,            0.029736,            0.022774,             0.59698,             0.46667,             0.51274,             0.16093,            0.074324,            0.016481,            0.029587,            0.038342,           0.0063422,           0.0063422
                  69,            0.070268,            0.029616,            0.022815,             0.25597,             0.78548,             0.56849,             0.20653,            0.078866,            0.016369,            0.028778,            0.037429,           0.0064287,           0.0064287
                  70,            0.074678,            0.031157,            0.022299,             0.71378,             0.57523,             0.62105,             0.20404,            0.070374,            0.016934,            0.028847,            0.036515,           0.0065149,           0.0065149
                  71,            0.062498,             0.02641,            0.023012,             0.19555,                0.75,             0.35345,             0.14442,            0.079681,            0.016902,            0.028526,            0.035601,           0.0066009,           0.0066009
                  72,            0.071013,            0.031407,             0.02234,             0.71905,              0.5512,             0.57666,             0.20614,            0.072739,            0.016702,            0.028297,            0.034687,           0.0066868,           0.0066868
                  73,            0.069971,            0.030018,            0.020709,             0.17648,             0.66667,             0.28318,            0.094823,            0.081504,            0.016881,            0.027672,            0.033772,           0.0067724,           0.0067724
                  74,             0.07383,            0.029984,            0.021819,             0.67843,             0.52994,             0.42779,             0.17226,            0.074802,            0.015996,             0.02681,            0.032858,           0.0068579,           0.0068579
                  75,            0.067752,            0.029546,            0.020602,             0.36119,             0.68648,             0.56152,             0.26557,             0.06672,            0.016626,            0.026337,            0.031943,           0.0069431,           0.0069431
                  76,            0.064333,            0.028468,            0.020417,             0.12897,              0.5664,             0.15639,            0.046906,            0.084026,             0.01661,            0.027122,            0.031028,           0.0070282,           0.0070282
                  77,            0.072507,            0.027566,            0.019149,             0.52687,             0.60257,             0.37797,             0.14746,            0.073801,            0.016887,            0.026756,            0.030113,            0.007113,            0.007113
                  78,            0.070346,            0.028598,            0.019542,             0.66982,              0.5725,             0.49734,             0.15614,             0.07955,            0.015727,            0.026764,            0.029198,           0.0071977,           0.0071977
                  79,            0.067836,            0.028893,            0.019071,             0.53812,             0.60791,             0.44308,              0.1578,            0.072554,            0.017045,            0.026077,            0.028282,           0.0072821,           0.0072821
                  80,            0.066413,            0.028656,            0.019721,             0.57192,             0.67292,             0.46286,             0.20354,            0.076647,            0.016804,            0.026001,            0.027366,           0.0073664,           0.0073664
                  81,            0.069531,            0.026408,            0.019003,             0.37989,             0.83333,             0.57501,             0.18852,            0.070928,            0.016462,            0.025848,             0.02645,           0.0074505,           0.0074505
                  82,            0.065001,            0.025516,            0.019462,             0.44102,                0.65,             0.34511,              0.1181,            0.078223,            0.016465,            0.026337,            0.025534,           0.0075343,           0.0075343
                  83,            0.071984,            0.022209,            0.018152,             0.28223,             0.75512,             0.46203,             0.14237,            0.069659,            0.016356,            0.026253,            0.024618,            0.007618,            0.007618
                  84,              0.0644,             0.02578,            0.018216,             0.38886,                0.65,             0.29096,             0.11301,            0.077881,            0.015764,            0.026146,            0.023701,           0.0077015,           0.0077015
                  85,            0.072265,            0.027628,              0.0167,               0.391,             0.86998,              0.6578,              0.2447,            0.065159,            0.016127,            0.025772,            0.022785,           0.0077847,           0.0077847
                  86,            0.061771,            0.026792,            0.018117,             0.52077,             0.55276,             0.39589,              0.1815,            0.074301,            0.016388,            0.024796,            0.021868,           0.0078678,           0.0078678
                  87,            0.072383,            0.025246,            0.018136,             0.29286,             0.69495,             0.45288,             0.13533,            0.075745,            0.014992,            0.024651,            0.020951,           0.0079507,           0.0079507
                  88,            0.064467,            0.026032,             0.01648,             0.67231,             0.54353,             0.46442,             0.17224,            0.070406,            0.015432,            0.024281,            0.020033,           0.0080333,           0.0080333
                  89,            0.072789,            0.024055,            0.016329,             0.50755,             0.68301,             0.52507,             0.16599,            0.070145,            0.015469,            0.023949,            0.019116,           0.0081158,           0.0081158
                  90,            0.062736,            0.027984,            0.015424,             0.59907,             0.56667,             0.59353,             0.18309,            0.069666,            0.015353,            0.024292,            0.018198,           0.0081981,           0.0081981
                  91,            0.067248,            0.031359,            0.015962,             0.58175,             0.56332,             0.57864,             0.28342,            0.066092,             0.01636,            0.023876,             0.01728,           0.0082802,           0.0082802
                  92,            0.061709,            0.025864,            0.016255,             0.44476,             0.63333,             0.43174,             0.14854,            0.071542,            0.014533,            0.024456,            0.016362,           0.0083621,           0.0083621
                  93,            0.065267,            0.027031,            0.015372,             0.59118,             0.63277,             0.52121,             0.18137,            0.072164,             0.01509,            0.023933,            0.015444,           0.0084437,           0.0084437
                  94,            0.068547,            0.025914,             0.01732,             0.65891,                 0.5,             0.54037,             0.24109,            0.066459,            0.015163,             0.02354,            0.014525,           0.0085252,           0.0085252
                  95,            0.062744,            0.027512,            0.014973,             0.71139,             0.54627,             0.64058,             0.26306,            0.064182,            0.014837,            0.023495,            0.013607,           0.0086065,           0.0086065
                  96,            0.063805,            0.026164,            0.015876,             0.26227,             0.76667,             0.51595,             0.20055,            0.070715,            0.014418,            0.023434,            0.012688,           0.0086876,           0.0086876
                  97,            0.068205,            0.025412,            0.015518,             0.71587,              0.6505,             0.66053,             0.28252,            0.061402,              0.0151,            0.023739,            0.011769,           0.0087685,           0.0087685
                  98,             0.06088,             0.02858,            0.015147,             0.34022,             0.83275,             0.56692,             0.20179,            0.071416,            0.014966,            0.023602,            0.010849,           0.0088492,           0.0088492
                  99,            0.065557,            0.022786,            0.015531,             0.32246,             0.72007,             0.39951,              0.1324,            0.072092,            0.014647,            0.023354,           0.0099297,           0.0089297,           0.0089297
                 100,            0.064815,            0.020788,            0.014884,             0.76982,             0.62287,             0.58666,              0.3105,            0.061895,            0.014257,            0.022785,             0.00901,             0.00901,             0.00901
                 101,            0.061637,             0.02571,            0.014923,             0.58116,             0.65654,             0.50758,               0.192,            0.066846,            0.014444,            0.022442,             0.00901,             0.00901,             0.00901
                 102,            0.065649,            0.024997,            0.013765,             0.35279,             0.88333,             0.56837,             0.22294,            0.065389,             0.01465,            0.022545,           0.0090001,           0.0090001,           0.0090001
                 103,            0.061974,            0.025429,            0.014159,             0.41661,              0.8502,             0.55168,              0.1611,              0.0697,            0.014446,            0.022438,           0.0089902,           0.0089902,           0.0089902
                 104,            0.060919,            0.022312,            0.013934,             0.44758,             0.81667,              0.7298,             0.31795,            0.061757,            0.014683,            0.022259,           0.0089803,           0.0089803,           0.0089803
                 105,            0.061076,            0.025708,            0.013865,             0.67056,             0.65371,             0.60166,             0.16587,            0.065348,             0.01514,            0.022739,           0.0089704,           0.0089704,           0.0089704
                 106,            0.059419,            0.020845,            0.013076,             0.29332,              0.8345,             0.69041,             0.28972,            0.062645,            0.014628,            0.022739,           0.0089605,           0.0089605,           0.0089605
                 107,            0.059845,            0.023779,            0.013858,              0.8517,                 0.6,             0.71455,             0.31688,            0.060757,            0.014354,            0.023167,           0.0089506,           0.0089506,           0.0089506
                 108,            0.055789,            0.023736,            0.012495,             0.30402,             0.68333,             0.43017,             0.19681,            0.072059,            0.016947,            0.023121,           0.0089407,           0.0089407,           0.0089407
                 109,            0.060131,             0.02235,            0.012914,             0.80194,             0.74222,             0.78551,             0.40148,            0.055846,            0.013535,            0.022781,           0.0089308,           0.0089308,           0.0089308
                 110,            0.059735,            0.023988,            0.013941,             0.48911,             0.88333,             0.75231,             0.24947,            0.066112,               0.015,            0.022404,           0.0089209,           0.0089209,           0.0089209
                 111,            0.060384,            0.022173,            0.012311,             0.76615,             0.72777,             0.65029,             0.29073,            0.064276,            0.014065,            0.021763,            0.008911,            0.008911,            0.008911
                 112,            0.059862,            0.022582,            0.013591,             0.80412,             0.68333,             0.76099,             0.39035,             0.06725,            0.013545,            0.021622,           0.0089011,           0.0089011,           0.0089011
                 113,            0.067564,            0.022931,            0.012423,             0.86799,                0.75,             0.78991,             0.33347,            0.059355,            0.014676,            0.021759,           0.0088912,           0.0088912,           0.0088912
                 114,            0.057635,            0.023189,            0.012718,             0.69104,                0.75,               0.661,             0.32079,            0.056502,            0.016159,            0.021828,           0.0088813,           0.0088813,           0.0088813
                 115,            0.052104,            0.023019,            0.012392,             0.49154,             0.88333,             0.67149,             0.24152,            0.060745,            0.016643,            0.021591,           0.0088714,           0.0088714,           0.0088714
                 116,            0.058726,            0.024474,            0.012139,             0.66874,                0.75,             0.74891,             0.30966,            0.054844,            0.017044,            0.021393,           0.0088615,           0.0088615,           0.0088615
                 117,            0.053215,            0.023277,             0.01217,             0.65136,                0.75,             0.70325,              0.2322,            0.058256,            0.018222,            0.020905,           0.0088516,           0.0088516,           0.0088516
